name,bigg_id,hmdb_id,kegg_id,HCC827.Parental.1,HCC827.Parental.2,HCC827.Parental.3,HCC827.Parental.4,HCC827.Parental.5,HCC827.Mesenchymal.1,HCC827.Mesenchymal.2,HCC827.Mesenchymal.3,HCC827.Mesenchymal.4,HCC827.Mesenchymal.5
1-methylnicotinamide,1mncam,HMDB00699,C02918,0.73,0.94,1.15,0.65,1.4,1.34,1.38,1.47,1.09,1.17
"2,3-diphosphoglycerate",23dpg,HMDB01294,C01159,0.28,0.28,0.28,0.28,0.28,1.1,0.28,0.62,0.28,0.85
2-aminoadipate,L2aadp,HMDB00510,C00956,0.42,0.62,0.5,0.74,0.7,1.45,0.34,0.73,0.87,1.15
2'-deoxyguanosine,dgsn,HMDB00085,C00330,4.79,1.59,0.96,4.26,1.07,2.28,4.85,5.98,3.86,2.86
2'-deoxyinosine,din,HMDB00071,C05512,4.58,2.54,1.36,5.24,1.14,5.25,5.33,8.77,4.7,5.82
2-hydroxyglutarate,S2hglut,HMDB00694,C03196,0.88,1.23,1.76,1.09,2.55,0.1,0.1,0.45,0.46,0.36
2-phosphoglycerate,2pg,"HMDB00362, HMDB03391",C00631,65.23,8.88,19.43,11.51,16.63,10,35.76,7.55,46.36,9.36
3-(4-hydroxyphenyl)lactate (HPLA),34hpl,HMDB00755,C03672,0.92,1.05,0.98,0.99,0.89,0.58,0.39,0.39,0.5,0.39
3'-AMP,3amp,"HMDB03540, HMDB06550",C01367,0.67,1.11,0.74,0.9,1.18,2.77,2.11,0.97,2.55,2.39
3'-dephosphocoenzyme A,dpcoa,HMDB01373,C00882,0.1,0.36,0.19,0.48,0.37,0.1,0.1,0.1,0.1,0.1
3-methyl-2-oxovalerate,3mop,"HMDB00491, HMDB01962, HMDB02254, HMDB03736, HMDB04750","C00671, C03465, C06008",0.38,0.33,0.41,0.33,0.33,0.83,1.29,0.33,1.13,1.11
3-phosphoglycerate,3pg,"HMDB00807, HMDB60180",C00197,30.33,14.21,9.38,19.22,8.45,20.11,24.23,15.2,26.99,16.68
