name,bigg_id,hmdb_id,kegg_id,NCI.H358.Parental.1,NCI.H358.Parental.2,NCI.H358.Parental.3,NCI.H358.Parental.4,NCI.H358.Parental.5,NCI.H358.Mesenchymal.1,NCI.H358.Mesenchymal.2,NCI.H358.Mesenchymal.3,NCI.H358.Mesenchymal.4,NCI.H358.Mesenchymal.5
1-methylnicotinamide,1mncam,HMDB00699,C02918,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
"2,3-diphosphoglycerate",23dpg,HMDB01294,C01159,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
2-aminoadipate,L2aadp,HMDB00510,C00956,0.34,0.52,0.49,1.02,0.49,4.16,1.52,1.22,1.26,1.1
2'-deoxyguanosine,dgsn,HMDB00085,C00330,1,0.71,0.88,1.11,1,0.39,0.39,0.39,0.39,0.39
2'-deoxyinosine,din,HMDB00071,C05512,1.47,1.28,1.17,2.04,1.45,0.51,0.45,0.18,0.3,0.41
2-hydroxyglutarate,S2hglut,HMDB00694,C03196,1.05,0.6,1.21,1.08,0.86,1.97,3.29,2.15,2.23,1.91
2-phosphoglycerate,2pg,"HMDB00362, HMDB03391",C00631,21.81,7.71,22.73,0.9,25.56,0.03,2.84,0.23,0.56,0.07
3-(4-hydroxyphenyl)lactate (HPLA),34hpl,HMDB00755,C03672,0.86,1.16,1.28,1.26,0.92,1.52,1.6,1.4,1.32,1.59
3'-AMP,3amp,"HMDB03540, HMDB06550",C01367,1.6,0.92,0.36,0.36,0.43,0.49,0.8,0.47,1.32,0.88
3'-dephosphocoenzyme A,dpcoa,HMDB01373,C00882,0.1,0.1,0.1,0.41,0.18,0.1,0.1,0.1,0.1,0.1
3-methyl-2-oxovalerate,3mop,"HMDB00491, HMDB01962, HMDB02254, HMDB03736, HMDB04750","C00671, C03465, C06008",0.83,1.15,0.77,0.63,0.75,0.72,0.89,1.2,1.2,1.14
3-phosphoglycerate,3pg,"HMDB00807, HMDB60180",C00197,14.53,15.5,13.88,1.71,15.26,0.04,1.66,0.31,0.25,0.16
3-phosphoserine,pser-L,HMDB00272,C01005,4.56,12.37,2.4,1.59,2.21,0.98,1.07,0.77,0.55,0.82
4-acetamidobutanoate,4aabutn,"HMDB03681, HMDB06238, HMDB60265",C02946,1.74,1.67,1.43,1.86,0.9,1.16,1.81,1.41,1.6,1.02
4-methyl-2-oxopentanoate,4mop,"HMDB00695, HMDB00762",C00233,0.8,1.68,0.45,0.54,0.61,0.55,0.83,1.05,1.17,1.06
5'- GMP,gmp,HMDB01397,C00144,0.06,0.06,0.06,0.06,0.06,0.08,0.06,0.47,1.28,1
5-methyltetrahydrofolate (5MeTHF),5mthf,HMDB01396,"C00440, D09353",3.5,3.73,3.49,4.37,3.1,1.67,1.66,1.72,1.67,1.34
5-methylthioadenosine (MTA),5mta,HMDB01173,C00170,0.36,0.37,0.39,0.66,0.36,1.27,0.98,1.18,0.75,1.05
5-oxoproline,5oxpro,"HMDB00267, HMDB00805, HMDB60262",C01879,0.71,0.79,1.01,1.42,0.79,1.59,1.22,1.44,1.22,1.53
5-phosphoribosyl diphosphate (PRPP),prpp,HMDB00280,C00119,0.5,0.5,0.5,0.5,0.5,0.55,0.92,1.08,0.5,0.8
6-phosphogluconate,6pgc,HMDB01316,C00345,5.33,1.2,2.21,1.07,2.2,1.62,3.62,1.04,1.71,0.78
7-alpha-hydroxycholesterol,xol7a,"HMDB01496, HMDB06119, HMDB59592",C03594,1.3,1.9,1.06,1.32,1.19,4.7,1,1.58,1.2,0.85
7-beta-hydroxycholesterol,xol7a,"HMDB01496, HMDB06119, HMDB59592",C03594,1,1.73,0.96,1.06,0.96,3.8,0.9,1.03,0.98,0.99
7-dehydrocholesterol,7dhchsterol,"HMDB00032, HMDB06505",C01164,0.3,0.3,0.3,0.3,0.3,0.85,1.64,0.96,1,1.82
acetylcarnitine (C2),acrn,"HMDB00201, HMDB00456, HMDB00515",C02571,1.21,1.47,1.99,2.83,1.32,1.54,1.29,1.63,1.34,1.56
acetyl-CoA,accoa,HMDB01206,C00024,0.19,0.19,0.19,0.19,0.19,1.6,1.33,1.25,0.69,0.99
adenine,ade,HMDB00034,"C00147, D00034",0.47,0.46,0.54,0.98,0.45,5.59,1.95,2.02,1.72,2.21
adenosine,adn,"HMDB00050, HMDB04401, HMDB04402, HMDB04421, HMDB14340 ","C00212, D00045, D06298",1.33,2.64,1.33,2.81,1.65,0.28,0.65,1.71,2.46,3.17
adenosine 5'-diphosphoribose (ADP-ribose),adprib,HMDB01178,"C00301, C01882",1.97,1.05,0.04,0.16,0.21,1,0.67,0.38,0.34,0.23
ADP,adp,HMDB01341,"C00008, G11113",0.12,0.28,0.15,0.43,0.21,0.71,1.62,3,3.61,3.37
adrenate (22:4n6),adrn,HMDB02226,C16527,2.29,2.78,0.67,0.92,0.79,0.72,0.9,0.57,0.93,2
agmatine,agm,"HMDB01432, HMDB60259",C00179,1.75,1.92,1.23,2.01,0.94,0.84,0.72,0.43,1.03,1.91
AICA ribonucleotide,aicar,HMDB01517,C04677,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36
alanine,ala-L,HMDB00161,"C00041, D00012",0.84,0.78,0.91,0.82,0.67,1.52,0.97,0.71,1.06,1.02
allantoin,alltn,HMDB00462,"C01551, D00121",0.74,0.88,0.98,1.31,0.71,3.51,1.95,2.06,1.71,1.92
alpha-ketoglutarate,akg,"HMDB00208, HMDB02812",C00026,0.3,1.43,0.45,1.63,0.22,0.91,2.47,3.19,2.27,3.03
AMP,amp,HMDB00045,"C00020, D02769, D06299",0.12,0.21,0.15,0.34,0.17,0.51,0.33,2.93,2.42,3.66
arabitol,abt,"HMDB00199, HMDB01851",C00532,0.91,0.47,0.99,0.89,0.63,1.06,1.01,1.38,1.56,1.01
arachidonate (20:4n6),arachd,HMDB01043,C00219,2.03,2.39,0.76,1.03,0.93,0.12,0.15,0.1,0.15,0.24
arginine,arg-L,HMDB00517,"C00062, D02982",1.13,1.38,0.85,0.89,0.96,0.92,0.84,0.79,0.96,0.97
asparagine,asn-L,HMDB00168,C00152,1.12,0.53,1,1.23,0.64,2.1,0.66,0.67,1.22,1.16
aspartate,asp-L,HMDB00191,"C00049, D00013",0.49,0.48,0.54,1.11,0.45,1.99,1.1,1.26,1.23,1.84
ATP,atp,HMDB00538,"C00002, D08646",0.57,0.57,0.57,0.57,0.57,0.57,1.34,0.57,1,0.57
benzoate,bz,HMDB01870,"C00180, C00539, D00038",0.9,0.88,1,0.83,1.12,1.19,1.5,1.04,1.27,1.34
beta-alanine,ala_B,HMDB00056,"C00099, D07561",0.98,1.82,3.21,4.44,2.09,6.3,1.9,2.54,1.02,1.16
betaine,glyb,"HMDB00043, HMDB59606","C00719, D07523",0.87,1.21,1.02,1.19,0.94,1,1.11,1.01,1,1.68
caproate (6:0),acgam,"HMDB00215, HMDB00533, HMDB14288",C00140,0.86,1.25,0.64,0.66,0.35,0.79,0.64,0.77,0.35,0.69
caprylate (8:0),octa,HMDB00482,"C06423, D05220",0.62,0.88,0.99,0.57,1.08,0.37,1.05,1.17,0.74,1
carnitine,crn,"HMDB00062, HMDB01467","C00318, D02176",1.19,1.72,2.05,2.86,1.69,1.18,1.08,1.26,0.95,1.25
CDP-choline,cdpchol,HMDB01413,"C00307, D00057",0.39,0.21,0.82,1.21,0.68,3.91,5.12,4.06,4.97,4.83
cholesterol,chsterol,"HMDB00067, HMDB00507","C00187, D00040",0.82,1.35,0.7,1.01,0.7,1.42,0.54,0.73,0.62,0.78
citrate,cit,HMDB00094,"C00158, D00037",0.65,0.88,0.64,0.84,0.74,1.51,1.54,1.64,0.76,1.18
citrulline,citr-L,HMDB00904,"C00327, D07706",2.43,3.26,1.87,1.58,1.57,0.37,0.78,0.61,0.37,0.37
CMP,cmp,HMDB00095,"C00055, G10621",0.17,0.25,0.39,0.53,0.36,0.82,1.02,1.12,1.5,1.57
CoA,coa,HMDB01423,C00010,0.44,0.19,1,2.09,0.85,1.05,0.93,1.18,0.9,1.38
creatine,creat,HMDB00064,C00300,0.22,0.47,0.25,0.61,0.22,0.85,0.4,0.81,0.34,0.87
creatinine,crtn,HMDB00562,"C00791, D03600",1.47,0.61,0.52,0.67,0.47,0.98,0.64,1.42,1.12,1.27
cystathionine,cyst-L,"HMDB00099, HMDB00455, HMDB03614",C02291,1.08,1.14,1.01,1.12,0.96,1.96,1.3,1.14,1.22,1.41
cysteine,cys-L,HMDB00574,"C00097, D00026",4.07,3.38,4.54,7.23,2.25,1.22,0.45,2.37,1.39,1.17
cysteinylglycine,cgly,"HMDB00078, HMDB28775",C01419,0.75,0.77,1.2,4.03,0.97,6.72,2.72,4.95,2.13,5.97
cystine,Lcystin,HMDB00192,"C00491, D03636",1.01,1.26,0.5,0.57,0.49,0.08,0.08,0.18,0.08,0.08
cytidine,cytd,"HMDB00089, HMDB15122, HMDB30167","C00475, C02961, D00168, D07769",0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
deoxycarnitine,4tmeabutn,"HMDB01161, HMDB06831",C01181,0.84,1.1,1.51,2.03,1.09,1.2,1.08,1.17,0.96,1.08
desmosterol,dsmsterol,HMDB02719,C01802,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84
dihydroxyacetone,dha,HMDB01882,"C00184, D07841",1.08,0.89,0.71,0.74,0.81,1.51,1.36,1.28,0.61,0.74
dihydroxyacetone phosphate (DHAP),dhap,"HMDB01473, HMDB11735",C00111,0.02,0.02,0.02,0.02,0.02,0.02,1.4,0.16,0.09,0.02
docosapentaenoate (DPA; 22:5n3),clpnd,HMDB06528,C16513,2.09,1.24,0.72,0.89,0.95,0.25,0.58,0.18,0.7,0.45
docosapentaenoate (n6 DPA; 22:5n6),clpnd,HMDB06528,C16513,1.02,0.89,0.58,0.06,0.53,0.74,0.97,0.43,1,0.77
erythronate*,thrnt,"HMDB00613, HMDB00943",C01620,1.87,1.35,1.98,3.66,1.72,2.61,3.61,3.02,2.9,3.68
ethanolamine,etha,HMDB00149,"C00189, D05074",1.31,1.79,0.91,1.5,0.97,1.89,1.28,1.76,1.26,1.82
FAD,fad,HMDB01248,"C00016, D00005",0.75,1.3,0.81,1.45,0.78,0.96,0.66,0.84,0.64,1.06
fructose,fru,HMDB00660,"C00095, C01496, C10906, D00114 ",2.42,3.06,1.2,0.9,1.06,0.28,0.88,0.51,0.83,0.6
fructose 1-phosphate,f1p,HMDB01076,NULL,0.85,1,0.69,0.98,1.05,0.28,1.44,0.28,0.28,0.81
fructose 6-phosphate,f6p,HMDB00124,C00085,2.49,0.95,0.75,1.57,0.64,0.1,1.84,3.25,3.25,3.02
fumarate,fum,HMDB00134,"C00122, D02308",1,1.15,1,1.71,0.94,3.71,1.6,1.53,2.01,2.34
gamma-aminobutyrate (GABA),4abut,HMDB00112,"C00334, D00058",0.68,0.98,2.07,1.98,1.23,2.13,1.81,1.27,0.92,1.18
gamma-glutamylalanine,gluala,"HMDB06248, HMDB36301",C03738,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73
GDP-mannose,gdpmann,HMDB01163,"C00096, G10614",0.76,0.76,0.76,0.76,0.76,1.18,0.97,0.76,1,1.05
gluconate,glcn,"HMDB00625, HMDB03373",C00257,1.47,2.31,0.76,1.07,0.98,1.02,0.91,0.79,1.09,1.41
glucose,glc-D,"HMDB00122, HMDB06564","C00031, D00009",20.67,17.61,5.97,3.2,9.52,0.2,0.47,0.36,0.63,0.46
glucose 1-phosphate,g1p,"HMDB01306, HMDB01586",C00103,1.11,1.08,0.36,0.82,0.35,0.84,3.11,3.88,3.53,2.43
glucose 6-phosphate,g6p,"HMDB01401, HMDB01549, HMDB06793",C00092,4.28,0.99,1.11,1.88,0.77,0.02,2.82,3.88,4.69,3.63
glutamate,glu-L,HMDB00148,"C00025, D00007",0.74,0.65,0.88,0.78,0.79,1.47,2.1,1.44,1.56,1.81
