idx,name,reaction,sd_normal,sd_disease,k_lfc,v_lfc,ci_low,ci_high,pval,corr_pval,pathway,reaction_id
46,Csm,1*oaa + 1*accoa -> 1*cit,0,0.425982172738112,-2.5682476649381,2.5682476649381,-3.0346368273081,-2.1018585025681,9.73453490906992e-07,8.56639071998153e-05,TCA cycle,R00351
175,ACGAM6PSi,1*accoa + 1*gam6p -> 1*acgam6p,0,0.425982172738112,-2.5682476649381,2.5682476649381,-3.0346368273081,-2.1018585025681,9.73453490906992e-07,8.56639071998153e-05,Aminosugar metabolism,NA
166,ASNS1,1*asp-L + 1*atp + 1*gln -> 1*amp + 1*asn-L + 1*glu + 1*ppi,0.538967975185479,0.671567121580167,-2.99876700034699,2.99876700034699,-3.73397118208253,-2.26356281861146,1.03444763250764e-05,0.000303308247809779,Aminoacid Metabolism,NA
120,EX_glu,1*glu ->  ,0.217256396457689,0.255266527928919,-1.11773104111124,1.11773104111124,-1.3972850863345,-0.838176995887984,1.20633962197071e-05,0.000303308247809779,Exchange,R00494
133,PSERT,1*3php + 1*glu -> 1*akg + 1*pser-L,0.217256396457689,0.255266527928919,-1.11773104111124,1.11773104111124,-1.3972850863345,-0.838176995887984,1.20633962197071e-05,0.000303308247809779,Aminoacid Metabolism,NA
147,ORNTArm,1*glu + 1*glu5sa -> 1*akg + 1*orn,0.217256396457689,0.255266527928919,-1.11773104111124,1.11773104111124,-1.3972850863345,-0.838176995887984,1.20633962197071e-05,0.000303308247809779,Aminoacid Metabolism,NA
162,ASPTA,1*glu + 1*oaa -> 1*akg + 1*asp-L,0.217256396457689,0.255266527928919,-1.11773104111124,1.11773104111124,-1.3972850863345,-0.838176995887984,1.20633962197071e-05,0.000303308247809779,Aminoacid Metabolism,NA
100,EX_glc,1*glc-D ->  ,1.33103964030556,1.16375300624973,4.5373102038305,-4.5373102038305,3.26333176985725,5.81128863780376,2.91121320719007e-05,0.000640466905581816,Exchange,R00245
72,HA,1*pi + 1*adp -> 1*atp,1.17427572568031,1.02671845136148,-3.42362464332885,3.42362464332885,-4.54759558739299,-2.29965369926471,9.26688604618216e-05,0.00181219104903118,Oxidative Phosphorylation,R00086
66,PCK,1*pep + 1*gdp -> 1*oaa + 1*gtp,2.20518971626888,2.13251433612305,6.14424575819744,-6.14424575819744,3.80978186780093,8.47870964859394,0.000262114727807572,0.00304381850651806,TCA cycle,R00431
5,ENO,1*pep -> 1*2pg,2.20518971626888,2.13251433612305,6.14424575819744,-6.14424575819744,3.80978186780093,8.47870964859394,0.000262114727807573,0.00304381850651806,Glycolysis,R00658
121,HEX1,1*atp + 1*glc-D -> 1*adp + 1*g6p,1.33103964030556,1.40913850701638,4.1284771334499,-4.1284771334499,2.58588113776839,5.67107312913142,0.000233275717541843,0.00304381850651806,Glycolysis,R00899
118,EX_acgam6p,1*acgam6p ->  ,0.323582758259658,1.18991606954505,3.40181988048728,-3.40181988048728,2.0992014616678,4.70443829930676,0.000276710773319823,0.00304381850651806,Exchange,R00497
176,AGDC,1*acgam6p -> 1*gam6p,0.323582758259658,1.18991606954505,3.40181988048728,-3.40181988048728,2.0992014616678,4.70443829930676,0.000276710773319823,0.00304381850651806,Aminosugar metabolism,NA
15,PGK,1*13dpg + 1*adp -> 1*3pg + 1*atp,0.978876895083206,1.12293425998486,-3.29861708501722,3.29861708501722,-4.52791241341388,-2.06932175662055,0.000229036847578046,0.00304381850651806,Glycolysis,R01512
126,RBK,1*adp + 1*r5p -> 1*atp + 1*rib-D,1.19444317651426,1.03388190557999,-3.08425212205852,3.08425212205852,-4.21606465576702,-1.95243958835003,0.000205532797051707,0.00304381850651806,Pentose phosphate,NA
70,GLUDy,1*glu + 1*nadp -> 1*akg + 1*nadph,0.477645670928983,0.525507428209611,-1.38604070667959,1.38604070667959,-1.96136644792793,-0.810714965431256,0.000480471653152776,0.00497429476205227,TCA cycle,R00248
17,PGM,1*3pg -> 1*2pg,1.97509758875954,2.17507763412198,5.31239263411692,-5.31239263411692,2.93133523851071,7.69345002972313,0.000799755025815515,0.00781982691908504,Glycolysis,R01518
131,PGCD,1*3pg + 1*nad -> 1*3php + 1*nadh,1.94611583689447,2.09176971273295,4.87093375556532,-4.87093375556532,2.58107247992868,7.16079503120197,0.0010885750054203,0.0100836421554722,Aminoacid Metabolism,NA
58,SUCL+OGDH,1*akg + 1*nad + 1*adp + 1*pi -> 1*succ + 1*atp + 1*nadh,3.56268388134149,2.64487842952533,-5.76038795282588,5.76038795282588,-8.65573092869087,-2.86504497696088,0.00165832535802893,0.0116746105205236,TCA cycle,R00405
159,ABTArm,1*glu + 1*succ -> 1*4abut + 1*akg,1.13603736536743,0.950580141366371,-2.10136180501475,2.10136180501475,-3.14198691637067,-1.06073669365883,0.00151205416400775,0.0116746105205236,Aminoacid Metabolism,NA
164,GLNS,1*atp + 1*glu -> 1*adp + 1*gln + 1*pi,0.217256396457689,0.699958541997303,-1.52656411149184,1.52656411149184,-2.29284642413095,-0.760281798852733,0.00164479771599442,0.0116746105205236,Aminoacid Metabolism,NA
150,GLU5Km+G5SDm,1*nadph + 1*atp + 1*glu -> 1*glu5sa + 1*adp + 1*nadp,0.217256396457689,0.699958541997303,-1.52656411149184,1.52656411149184,-2.29284642413095,-0.760281798852732,0.00164479771599443,0.0116746105205236,Aminoacid Metabolism,NA
163,ASPFUM,1*asp-L -> 1*fum,0.77478415231811,0.601643106612873,-1.32410238185697,1.32410238185697,-1.98276628021343,-0.665438483500512,0.00155491473136859,0.0116746105205236,Aminoacid Metabolism,NA
33,PRPS,1*amp + 1*prpp -> 1*atp + 1*r5p,0.77081736317765,1.63685226508449,-3.41867113944707,3.41867113944707,-5.21054105054297,-1.62680122835116,0.00214342799799816,0.0139719750980621,Pentose phosphate,R01049
145,ALATA_L,1*glu + 1*pyr -> 1*akg + 1*ala-L,0.849386227119361,0.937621036701618,-1.96033114545467,1.96033114545467,-2.98677043445919,-0.933891856450147,0.00213015708514773,0.0139719750980621,Aminoacid Metabolism,NA
68,GLUDx,1*glu + 1*nad -> 1*akg + 1*nadh,0.788904966182684,0.7680998160654,-1.55918991966284,1.55918991966284,-2.40006232461667,-0.718317514709005,0.00254392358177167,0.0154389844962695,TCA cycle,R00243
97,EX_lac,1*lac-L ->  ,0.686583036607274,0.512487375444359,-1.04348120517292,1.04348120517292,-1.60455540020282,-0.482407010143019,0.00249905259607141,0.0154389844962695,Exchange,R00258
146,ORNTArm,1*akg + 1*orn -> 1*glu + 1*glu5sa,2.12596904949259,1.33484509232861,-2.66581950737896,2.66581950737896,-4.12708813117139,-1.20455088358654,0.00280186103192868,0.0164375847206483,Aminoacid Metabolism,NA
161,ASPTA,1*akg + 1*asp-L -> 1*glu + 1*oaa,2.55006292256761,1.65994899780779,-3.2194068128024,3.2194068128024,-5.03656032203004,-1.40225330357477,0.00332601980274101,0.0167251281509262,Aminoacid Metabolism,NA
129,GLYCK2,1*atp + 1*glyc-R -> 1*2pg + 1*adp,0.783682325756757,0.88333434356107,1.71840580252277,-1.71840580252277,0.751391885481455,2.68541971956409,0.00326827332868996,0.0167251281509262,Glycolysis,NA
130,GLYPT,1*atp + 1*glyc-R -> 1*3pg + 1*adp,0.783682325756757,0.88333434356107,1.71840580252277,-1.71840580252277,0.751391885481455,2.68541971956409,0.00326827332868996,0.0167251281509262,Aminoacid Metabolism,NA
78,EX_gln,1*gln ->  ,0.694135300433419,0.648727434159005,-1.26583154810942,1.26583154810942,-1.97603481138218,-0.55562828483666,0.00321179629892562,0.0167251281509262,Exchange,R00303
165,GLUNm,1*gln -> 1*glu,0.694135300433419,0.648727434159005,-1.26583154810942,1.26583154810942,-1.97603481138218,-0.55562828483666,0.00321179629892562,0.0167251281509262,Aminoacid Metabolism,NA
14,PGK,1*3pg + 1*atp -> 1*13dpg + 1*adp,1.97509758875954,2.54086727524436,4.90355956373632,-4.90355956373632,2.12207649057371,7.68504263689893,0.00342283852704221,0.0167338772433174,Glycolysis,R01512
167,OPAHir,1*5oxpro + 1*atp -> 1*adp + 1*glu + 1*pi,0.547462739069795,0.529117369918919,-1.01611372166655,1.01611372166655,-1.59539086108341,-0.436836582249682,0.00352357747568649,0.0167608009654276,Gluthatione metabolism,NA
85,EX_amp,1*amp ->  ,0.77081736317765,1.54331303540675,-2.85740863794034,2.85740863794034,-4.54688283138591,-1.16793444449477,0.00433890413429817,0.0199496498432243,Exchange,R04173
134,PSP_L,1*pser-L -> 1*pi + 1*ser-L,1.38468646111535,1.12220391705919,2.07026416401428,-2.07026416401428,0.841768320368184,3.29876000766038,0.0044281714330917,0.0199496498432243,Aminoacid Metabolism,NA
116,EX_cys-L,1*cys-L ->  ,0.907151647121287,0.969713038401283,1.78146129218195,-1.78146129218195,0.719892129781884,2.84303045458203,0.00453401132800551,0.0199496498432243,Exchange,R00251
4,ENO,1*2pg -> 1*pep,2.99499574960389,2.99544854135082,5.35405737405045,-5.35405737405045,2.07494879771169,8.6331659503892,0.00528129719419485,0.0221311501471022,Glycolysis,R00658
16,PGM,1*2pg -> 1*3pg,2.99499574960389,2.99544854135082,5.35405737405045,-5.35405737405045,2.07494879771169,8.6331659503892,0.00528129719419485,0.0221311501471022,Glycolysis,R01518
144,ALATA_L,1*akg + 1*ala-L -> 1*glu + 1*pyr,2.01970001717757,1.30659977985062,-2.25305998989634,2.25305998989634,-3.68340912421943,-0.822710855573239,0.0064236865229308,0.0262922983264144,Aminoacid Metabolism,NA
18,PGMT,1*g1p -> 1*g6p,0.959129939887122,1.11695417357154,-1.8910549040909,1.8910549040909,-3.11380400982066,-0.668305798361142,0.00708623481260772,0.0277150517115324,Glycolysis,R08639
74,GPX,2*gthrd -> 1*gthox,2.64711173519737,2.25950857657962,-3.65907426560242,3.65907426560242,-6.13255717861315,-1.1855913525917,0.00894319820115589,0.0327943983769309,Gluthatione metabolism,R00274
95,EX_gthrd,1*gthrd ->  ,1.32355586759868,1.12975428828981,-1.82953713280121,1.82953713280121,-3.06629814507683,-0.592776120525592,0.00894392683007206,0.0327943983769309,Exchange,R00551
171,DESGTH,1*gthrd -> 1*cgly + 1*glu,1.32355586759868,1.12975428828981,-1.82953713280121,1.82953713280121,-3.06629814507683,-0.592776120525592,0.00894392683007206,0.0327943983769309,Gluthatione metabolism,NA
160,POX+OTHER,1*pro-L + 1*nad + 1*nadp + 2*akg -> 1*succ + 1*glu + 1*pyr + 1*nadh + 1*nadph,4.65518778211614,3.28627551476515,-5.08988247775648,5.08988247775648,-8.68735664862259,-1.49240830689036,0.0112089154847328,0.038469402373254,Aminoacid Metabolism,NA
