"","r_idx","ENZYME","SYMBOL","ENSEMBL","ENTREZID","met_lfc","met_pval","pathway","ge_lfc","ge_pval","significant"
"1",4,"4.2.1.11","ENO1","ENSG00000074800","2023",5.35405737405045,0.0221311501471022,"Glycolysis",-0.684536556029169,1.13371779380151e-05,TRUE
"2",4,"4.2.1.11","ENO2","ENSG00000111674","2026",5.35405737405045,0.0221311501471022,"Glycolysis",-0.674913523525746,7.6660864545451e-05,TRUE
"3",5,"4.2.1.11","ENO1","ENSG00000074800","2023",6.14424575819744,0.00304381850651806,"Glycolysis",-0.684536556029169,1.13371779380151e-05,TRUE
"4",5,"4.2.1.11","ENO2","ENSG00000111674","2026",6.14424575819744,0.00304381850651806,"Glycolysis",-0.674913523525746,7.6660864545451e-05,TRUE
"5",18,"5.4.2.2","PGM1","ENSG00000079739","5236",-1.8910549040909,0.0277150517115324,"Glycolysis",-0.241030751760084,0.00486870575058983,TRUE
"6",33,"2.7.6.1","PRPS2","ENSG00000101911","5634",-3.41867113944707,0.0139719750980621,"Pentose phosphate",-0.452448360885755,0.000910639423266436,TRUE
"7",44,"4.2.1.3","ACO1","ENSG00000122729","48",-0.781948725474006,0.0273290247533652,"TCA cycle",0.411961746089556,0.000225397310985233,TRUE
"8",44,"4.2.1.3","ACO2","ENSG00000100412","50",-0.781948725474006,0.0273290247533652,"TCA cycle",-0.304914909819313,0.00334713023639687,TRUE
"9",46,"2.3.3.1","CS","ENSG00000062485","1431",-2.5682476649381,8.56639071998153e-05,"TCA cycle",-0.310793113922685,0.000914568012284048,TRUE
"10",46,"1.2.4.1","PDHA1","ENSG00000131828","5160",-2.5682476649381,8.56639071998153e-05,"TCA cycle",-0.383846253915795,0.000302629071022587,TRUE
"11",46,"1.2.4.1","PDHB","ENSG00000168291","5162",-2.5682476649381,8.56639071998153e-05,"TCA cycle",-0.478589429469359,7.87230226015627e-05,TRUE
"12",46,"1.8.1.4","DLD","ENSG00000091140","1738",-2.5682476649381,8.56639071998153e-05,"TCA cycle",-0.315934466696049,0.00142239708962379,TRUE
"13",46,"2.3.1.12","DLAT","ENSG00000150768","1737",-2.5682476649381,8.56639071998153e-05,"TCA cycle",-0.826518147724816,6.29429306123342e-06,TRUE
"14",47,"4.2.1.2","FH","ENSG00000091483","2271",-0.906072785581158,0.0343686645519614,"TCA cycle",-0.646911292659512,1.46523772442117e-05,TRUE
"15",56,"1.3.5.1","SDHA","ENSG00000073578","6389",-0.906072785581158,0.0343686645519614,"TCA cycle",-0.368971055679218,0.00163797846923914,TRUE
"16",56,"1.3.5.1","SDHB","ENSG00000117118","6390",-0.906072785581158,0.0343686645519614,"TCA cycle",-0.262091089491635,0.00513921632575136,TRUE
"17",56,"1.3.5.1","SDHD","ENSG00000204370","6392",-0.906072785581158,0.0343686645519614,"TCA cycle",-0.356929634788436,0.000501644707023926,TRUE
"18",58,"1.8.1.4","DLD","ENSG00000091140","1738",-5.76038795282588,0.0116746105205236,"TCA cycle",-0.315934466696049,0.00142239708962379,TRUE
"19",58,"6.2.1.4","SUCLG2","ENSG00000172340","8801",-5.76038795282588,0.0116746105205236,"TCA cycle",-1.14450150840441,3.04733060940328e-06,TRUE
"20",58,"6.2.1.4","SUCLG1","ENSG00000163541","8802",-5.76038795282588,0.0116746105205236,"TCA cycle",0.908095260383618,1.94939872891381e-06,TRUE
"21",58,"6.2.1.4","SUCLA2","ENSG00000136143","8803",-5.76038795282588,0.0116746105205236,"TCA cycle",-0.3100085778732,0.00517201532081692,TRUE
"22",58,"1.2.4.2","OGDHL","ENSG00000197444","55753",-5.76038795282588,0.0116746105205236,"TCA cycle",0.410801966535852,0.00178466430835409,TRUE
"23",66,"4.1.1.32","PCK2","ENSG00000100889","5106",6.14424575819744,0.00304381850651806,"TCA cycle",-1.03197725439402,2.38300497973522e-05,TRUE
