"","r_idx","ENZYME","SYMBOL","ENSEMBL","ENTREZID","met_lfc","met_pval","pathway","ge_lfc","ge_pval","significant"
"1",4,"4.2.1.11","ENO1","ENSG00000074800","2023",5.35405737405045,0.0221311501471022,"Glycolysis",-0.193392262472447,0.0106246562949818,TRUE
"2",4,"4.2.1.11","ENO2","ENSG00000111674","2026",5.35405737405045,0.0221311501471022,"Glycolysis",-0.306978832271426,0.00703702573795541,TRUE
"3",4,"4.2.1.11","ENO3","ENSG00000108515","2027",5.35405737405045,0.0221311501471022,"Glycolysis",0.311695321870427,0.00914114752051218,TRUE
"4",5,"4.2.1.11","ENO1","ENSG00000074800","2023",6.14424575819744,0.00304381850651806,"Glycolysis",-0.193392262472447,0.0106246562949818,TRUE
"5",5,"4.2.1.11","ENO2","ENSG00000111674","2026",6.14424575819744,0.00304381850651806,"Glycolysis",-0.306978832271426,0.00703702573795541,TRUE
"6",5,"4.2.1.11","ENO3","ENSG00000108515","2027",6.14424575819744,0.00304381850651806,"Glycolysis",0.311695321870427,0.00914114752051218,TRUE
"7",18,"5.4.2.2","PGM2","ENSG00000169299","55276",-1.8910549040909,0.0277150517115324,"Glycolysis",-0.600649876533282,8.12747369527805e-05,TRUE
"8",33,"2.7.6.1","PRPS1","ENSG00000147224","5631",-3.41867113944707,0.0139719750980621,"Pentose phosphate",0.59511319538281,3.03356375745022e-05,TRUE
"9",33,"2.7.6.1","PRPS2","ENSG00000101911","5634",-3.41867113944707,0.0139719750980621,"Pentose phosphate",-0.420714855452172,0.00035129132122817,TRUE
"10",46,"1.2.4.1","PDHB","ENSG00000168291","5162",-2.5682476649381,8.56639071998153e-05,"TCA cycle",-0.238216943704849,0.00320985214948504,TRUE
"11",46,"2.3.1.12","DLAT","ENSG00000150768","1737",-2.5682476649381,8.56639071998153e-05,"TCA cycle",-0.417429108672152,0.000143242232414883,TRUE
"12",47,"4.2.1.2","FH","ENSG00000091483","2271",-0.906072785581158,0.0343686645519614,"TCA cycle",-0.299058493212348,0.00319687111464205,TRUE
"13",56,"1.3.5.1","SDHA","ENSG00000073578","6389",-0.906072785581158,0.0343686645519614,"TCA cycle",-0.386367212587917,0.000967830428309762,TRUE
"14",56,"1.3.5.1","SDHB","ENSG00000117118","6390",-0.906072785581158,0.0343686645519614,"TCA cycle",-0.236605723632277,0.00341380519316164,TRUE
"15",56,"1.3.5.1","SDHC","ENSG00000143252","6391",-0.906072785581158,0.0343686645519614,"TCA cycle",0.207822016795086,0.014700725432205,TRUE
"16",58,"6.2.1.4","SUCLG2","ENSG00000172340","8801",-5.76038795282588,0.0116746105205236,"TCA cycle",-0.972833197701977,3.27743195046757e-05,TRUE
"17",58,"1.2.4.2","OGDHL","ENSG00000197444","55753",-5.76038795282588,0.0116746105205236,"TCA cycle",0.234279302921564,0.023418378529311,TRUE
"18",66,"4.1.1.32","PCK2","ENSG00000100889","5106",6.14424575819744,0.00304381850651806,"TCA cycle",-0.372149815069106,0.0121754776114413,TRUE
"19",68,"1.4.1.3","GLUD1","ENSG00000148672","2746",-1.55918991966284,0.0154389844962695,"TCA cycle",-0.782985494268726,2.01678295407758e-05,TRUE
"20",68,"1.4.1.3","GLUD2","ENSG00000182890","2747",-1.55918991966284,0.0154389844962695,"TCA cycle",-0.728681419431686,2.45086162041451e-05,TRUE
"21",70,"1.4.1.3","GLUD1","ENSG00000148672","2746",-1.38604070667959,0.00497429476205227,"TCA cycle",-0.782985494268726,2.01678295407758e-05,TRUE
"22",70,"1.4.1.3","GLUD2","ENSG00000182890","2747",-1.38604070667959,0.00497429476205227,"TCA cycle",-0.728681419431686,2.45086162041451e-05,TRUE
"23",72,"3.6.3.14","ATP5A1","ENSG00000152234","498",-3.42362464332885,0.00181219104903118,"Oxidative Phosphorylation",-0.189069168670656,0.0112203998300724,TRUE
"24",72,"3.6.3.14","ATP5C1","ENSG00000165629","509",-3.42362464332885,0.00181219104903118,"Oxidative Phosphorylation",-0.306841685399984,0.00140866251851251,TRUE
"25",72,"3.6.3.14","ATP5D","ENSG00000099624","513",-3.42362464332885,0.00181219104903118,"Oxidative Phosphorylation",-0.381754192897812,0.000709770175543149,TRUE
"26",72,"3.6.3.14","ATP5E","ENSG00000124172","514",-3.42362464332885,0.00181219104903118,"Oxidative Phosphorylation",0.145259238895299,0.0425199437150534,TRUE
"27",72,"3.6.3.14","ATP5G2","ENSG00000135390","517",-3.42362464332885,0.00181219104903118,"Oxidative Phosphorylation",0.320552351827761,0.000697972879997819,TRUE
