"","r_idx","ENZYME","SYMBOL","ENSEMBL","ENTREZID","met_lfc","met_pval","pathway","ge_lfc","ge_pval","significant"
"1",4,"4.2.1.11","ENO1","ENSG00000074800","2023",5.35405737405045,0.0221311501471022,"Glycolysis",-0.362563257154598,0.00155808717820432,TRUE
"2",4,"4.2.1.11","ENO2","ENSG00000111674","2026",5.35405737405045,0.0221311501471022,"Glycolysis",0.228345867899742,0.0111202907807849,TRUE
"3",4,"4.2.1.11","ENO3","ENSG00000108515","2027",5.35405737405045,0.0221311501471022,"Glycolysis",0.396116318549626,0.00070975052403447,TRUE
"4",5,"4.2.1.11","ENO1","ENSG00000074800","2023",6.14424575819744,0.00304381850651806,"Glycolysis",-0.362563257154598,0.00155808717820432,TRUE
"5",5,"4.2.1.11","ENO2","ENSG00000111674","2026",6.14424575819744,0.00304381850651806,"Glycolysis",0.228345867899742,0.0111202907807849,TRUE
"6",5,"4.2.1.11","ENO3","ENSG00000108515","2027",6.14424575819744,0.00304381850651806,"Glycolysis",0.396116318549626,0.00070975052403447,TRUE
"7",14,"2.7.2.3","PGK1","ENSG00000102144","5230",4.90355956373632,0.0167338772433174,"Glycolysis",-0.252979614372911,0.010402666791352,TRUE
"8",15,"2.7.2.3","PGK1","ENSG00000102144","5230",-3.29861708501722,0.00304381850651806,"Glycolysis",-0.252979614372911,0.010402666791352,TRUE
"9",18,"5.4.2.2","PGM2","ENSG00000169299","55276",-1.8910549040909,0.0277150517115324,"Glycolysis",-0.750568735328837,3.82580232167567e-05,TRUE
"10",33,"2.7.6.1","PRPS1","ENSG00000147224","5631",-3.41867113944707,0.0139719750980621,"Pentose phosphate",1.12256973944807,0.000306148772208442,TRUE
"11",33,"2.7.6.1","PRPS1L1","ENSG00000229937","221823",-3.41867113944707,0.0139719750980621,"Pentose phosphate",0.285873152811665,0.0294492302093963,TRUE
"12",44,"4.2.1.3","ACO1","ENSG00000122729","48",-0.781948725474006,0.0273290247533652,"TCA cycle",0.585344815152823,0.00024941604561521,TRUE
"13",46,"1.2.4.1","PDHA1","ENSG00000131828","5160",-2.5682476649381,8.56639071998153e-05,"TCA cycle",0.444545748079793,0.00335748301731598,TRUE
"14",46,"1.2.4.1","PDHB","ENSG00000168291","5162",-2.5682476649381,8.56639071998153e-05,"TCA cycle",-0.51270276998229,0.00020872305583914,TRUE
"15",46,"1.8.1.4","DLD","ENSG00000091140","1738",-2.5682476649381,8.56639071998153e-05,"TCA cycle",-0.769059756580944,3.61534560571695e-05,TRUE
"16",46,"2.3.1.12","DLAT","ENSG00000150768","1737",-2.5682476649381,8.56639071998153e-05,"TCA cycle",-0.235334268415919,0.00789004140622009,TRUE
